x,y,zone,comp,age,seqs,phylo,lul_2010,lul_1980,lul_2000,lul_2015,regions,spot_comp,spot_age,spot_seqs
-111.375,28.375,0,0.04552203416824341,0.39254987239837646,1.4479962587356567,-0.7887875437736511,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-111.125,28.375,0,0.10293684899806976,0.5445272922515869,1.5092021226882935,-0.6480323672294617,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-110.875,28.375,0,NA,-0.761587917804718,0.14672139286994934,-0.7667706608772278,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-110.625,28.375,0,NA,-1.9441088438034058,-0.6270333528518677,0.2722843587398529,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-110.375,28.375,0,NA,-1.176949143409729,-0.3433683514595032,-0.36538955569267273,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-110.125,28.375,0,NA,-1.4261506795883179,-0.4935494661331177,-0.48813387751579285,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-109.875,28.375,0,1.7685558795928955,-2.1273000240325928,-0.7654937505722046,0.6512439250946045,Human use,Human use,Human use,Human use,Mexico Northwest,NA,Coldspot,NA
-109.625,28.375,0,1.4810045957565308,-2.113917827606201,1.0917011499404907,2.3572909832000732,Primary,Primary,Primary,Primary,Mexico Northwest,NA,Coldspot,NA
-109.375,28.375,10,1.7440179586410522,-1.855451226234436,1.9667081832885742,1.5003747940063477,Primary,Primary,Primary,Primary,Mexico Northwest,NA,NA,Hotspot
-109.125,28.375,10,1.6284146308898926,-1.5624642372131348,2.4902336597442627,2.3326756954193115,Primary,Primary,Primary,Primary,Mexico Northwest,NA,NA,Hotspot
-108.875,28.375,10,1.4068571329116821,-0.8759559392929077,2.8631346225738525,1.9193251132965088,Primary,Primary,Primary,Primary,Mexico Northwest,NA,NA,Hotspot
-108.625,28.375,10,1.6881927251815796,-0.6916400194168091,3.4804468154907227,3.1551566123962402,Primary,Primary,Primary,Primary,Mexico Northwest,NA,NA,Hotspot
